ID,Station_Name,OS X,OS Y,Latitude,Longitude,Zone,Postcode,Zone_original
36,Battersea Power Station,529122,177252,51.479496343757300,-0.142001351,1,SW11 8AL,1
37,Bayswater,525845,180799,51.51211098317960,-0.187901572,1,W2 4QH,1
38,Beckenham Hill,538002,171379,51.42462603356410,-0.016495762,4,SE6 3NU,4
39,Beckenham Junction,537403,169840,51.410941601884700,-0.025701739,4,BR3 1HY,4
40,Beckenham Road,536177,169650,51.40952967986140,-0.043391922,3,BR3 4RR,"3,4,5,6"
41,Beckton,543145,181509,51.51437673300680,0.061525297,3,E6 5NT,3
42,Beckton Park,542697,180887,51.50890088618670,0.054821939,3,E6 5NE,3
43,Becontree,547598,184442,51.53958561974400,0.12688029269359400,5,RM9 4TP,5
44,Beddington Lane,529367,167215,51.389239651469800,-0.142138433,3,CR0 4TF,"3,4,5,6"
45,Belgrave Walk,526805,168455,51.400961356342700,-0.178496472,3,CR4 4NY,"3,4,5,6"
46,Bellingham,537702,172399,51.433864862646100,-0.02041177,3,SE6 3BT,3
47,Belmont,525500,162098,51.34411959994200,-0.199489251,5,SM2 6BH,5
48,Belsize Park,527399,185075,51.55019061178190,-0.163974491,2,NW3 2AL,2
49,Belvedere,549498,179197,51.49195925487850,0.15203379329231400,5,DA17 6JW,5
50,Bermondsey,534461,179445,51.49796067750630,-0.06433009,2,SE16 4RX,2
51,Berrylands,519728,168040,51.39876794902150,-0.280321473,5,KT5 8LT,5
52,Bethnal Green,534995,182712,51.527191653122100,-0.055392111,2,E2 0ET,2
53,Bethnal Green Rail,534683,182380,51.524282643710500,-0.060013742,2,E2 6JL,2
54,Bexley,549399,173502,51.44081477613680,0.1482039142729930,6,DA5 1AQ,6
55,Bexleyheath,548294,176000,51.46355017881960,0.13336296607247600,5,DA7 4AA,5
56,Bickley,542304,168799,51.400379644488500,0.044304031699826500,5,BR1 2EB,5
57,Birkbeck,535297,168996,51.40386300465970,-0.056286236,4,BR3 4TA,4
58,Blackfriars,531738,180890,51.511586761695000,-0.102995385,1,EC4V 4DD,1
59,Blackheath,539604,175961,51.46540802722940,0.008336595,3,SE3 9LE,3
60,Blackhorse Lane,534362,166844,51.384746070367600,-0.070533948,3,CR0 6NL,"3,4,5,6"
61,Blackhorse Road,535914,189256,51.58577656484630,-0.039625711,3,E17 6JJ,3
62,Blackwall,538394,180649,51.50783153133500,-0.007235166,2,E14 9QB,2
63,Bond Street,528497,181053,51.513797282327400,-0.149613609,1,W1C 2HU,1
64,Borough,532379,179734,51.50104871772220,-0.094197323,1,SE1 1JX,1
65,Boston Manor,516391,178755,51.49576500584810,-0.324747183,4,TW8 9LQ,4
66,Bounds Green,529996,191466,51.60703172061750,-0.124177065,3,N11 2EU,"3,4"
